"XOM.Open","XOM.High","XOM.Low","XOM.Close","XOM.Volume","XOM.WAP","XOM.hasGaps","XOM.Count","index","Orders","Position","holdingGrossReturn","X50PeriodSMA","upperBband2SD50PeriodsSMA","lowerBband2SD50PeriodsSMA","upperBband1SD50PeriodsSMA","lowerBband1SD50PeriodsSMA","X20PeriodSMA","upperBband2SD20PeriodsSMA","lowerBband2SD20PeriodsSMA","upperBband1SD20PeriodsSMA","lowerBband1SD20PeriodsSMA","X10PeriodSMA","upperBband2SD10PeriodsSMA","lowerBband2SD10PeriodsSMA","upperBband1SD10PeriodsSMA","lowerBband1SD10PeriodsSMA","X5PeriodSMA","upperBband2SD5PeriodsSMA","lowerBband2SD5PeriodsSMA","upperBband1SD5PeriodsSMA","lowerBband1SD5PeriodsSMA","SD20Days","SD10Days","SD5Days"
106.08,106.09,106.08,106.08,7,106.084,0,1,18,0,0,0.999981147371001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.0647,106.091015183619,106.038384816381,106.077857591809,106.051542408191,106.0756,106.090739352694,106.060460647306,106.083169676347,106.068030323653,NA,0.0131575918093788,0.0075696763471122
106.09,106.1,106.09,106.09,4,106.092,0,4,19,0,0,1.000056557887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.0687,106.09838052111,106.03901947889,106.083540260555,106.053859739445,106.081,106.096491933385,106.065508066615,106.088745966692,106.073254033308,NA,0.0148402605547665,0.00774596669241513
106.09,106.1,106.09,106.09,1,106.095,0,1,20,0,0,1.0000848368305,NA,NA,NA,NA,NA,106.06655,106.096591900564,106.036508099436,106.081570950282,106.051529049718,106.0732,106.103907219564,106.042492780436,106.088553609782,106.057846390218,106.0858,106.100659340497,106.070940659503,106.093229670248,106.078370329752,0.0150209502818031,0.0153536097818506,0.00742967024840144
106.09,106.1,106.09,106.1,8,106.097,0,6,21,0,0,1.0001036894595,NA,NA,NA,NA,NA,106.0671,106.098987301548,106.035212698452,106.083043650774,106.051156349226,106.0769,106.10940230761,106.04439769239,106.093151153805,106.060648846195,106.0892,106.105162455951,106.073237544049,106.097181227976,106.081218772024,0.0159436507738963,0.0162511538051915,0.00798122797569068
106.11,106.11,106.11,106.11,1,106.11,0,1,22,0,0,1.00022623154799,NA,NA,NA,NA,NA,106.0692,106.106422517237,106.031977482763,106.087811258619,106.050588741381,106.0832,106.11433840073,106.05206159927,106.098769200365,106.067630799635,106.0956,106.114499735448,106.076700264552,106.105049867724,106.086150132276,0.0186112586185992,0.015569200364822,0.00944986772394069
106.11,106.11,106.11,106.11,0,106.11,0,0,23,0,0,1.00022623154799,NA,NA,NA,NA,NA,106.0722,106.112454976809,106.031945023191,106.092327488405,106.052072511595,106.0882,106.118834766017,106.057565233983,106.103517383008,106.072882616992,106.1008,106.117969740825,106.083630259175,106.109384870413,106.092215129587,0.0201274884045088,0.0153173830082758,0.00858487041253475
106.12,106.12,106.1,106.11,31,106.108,0,19,24,0,0,1.00020737891899,NA,NA,NA,NA,NA,106.0747,106.117379219645,106.032020780355,106.096039609822,106.053360390178,106.0925,106.120630647581,106.064369352419,106.106565323791,106.078434676209,106.104,106.11876482306,106.08923517694,106.11138241153,106.09661758847,0.0213396098223093,0.0140653237905615,0.00738241153011875
106.11,106.12,106.09,106.09,57,106.105,0,25,25,0,0,1.00017909997549,NA,NA,NA,NA,NA,106.07755,106.120334527454,106.034765472546,106.098942263727,106.056157736273,106.0959,106.120475507229,106.071324492771,106.108187753614,106.083612246386,106.106,106.116862780491,106.095137219509,106.111431390246,106.100568609754,0.0213922637270677,0.0122877536144281,0.00543139024560249
106.1,106.12,106.09,106.11,19,106.104,0,11,26,0,0,1.00016967366099,NA,NA,NA,NA,NA,106.08,106.122958976759,106.037041023241,106.10147948838,106.05852051162,106.0983,106.120552091038,106.076047908962,106.109426045519,106.087173954481,106.1074,106.112985696017,106.101814303982,106.110192848009,106.104607151991,0.0214794883796761,0.011126045518911,0.00279284800875313
106.11,106.11,106.1,106.11,5,106.109,0,5,27,0,0,1.00021680523349,NA,NA,NA,NA,NA,106.08195,106.126508536308,106.037391463692,106.104229268154,106.059670731846,106.1014,106.11929351217,106.08350648783,106.110346756085,106.092453243915,106.1072,106.112376871642,106.102023128358,106.109788435821,106.104611564179,0.0222792681539065,0.00894675608499749,0.00258843582110759
106.12,106.12,106.11,106.11,2,106.113,0,2,28,0,0,1.00025451049149,NA,NA,NA,NA,NA,106.0845,106.130077002511,106.038922997489,106.107288501256,106.061711498744,106.1043,106.118723745853,106.089876254147,106.111511872927,106.097088127073,106.1078,106.114927411872,106.100672588127,106.111363705936,106.104236294064,0.0227885012555382,0.00721187292671761,0.00356370593623996
106.12,106.13,106.11,106.12,29,106.122,0,17,29,0,0,1.00033934732198,NA,NA,NA,NA,NA,106.088,106.13381886534,106.04218113466,106.11090943267,106.06509056733,106.1073,106.122793367757,106.091806632243,106.115046683878,106.099553316122,106.1106,106.125201369799,106.095998630201,106.117900684899,106.103299315101,0.0229094326700415,0.00774668387835227,0.00730068489937722
106.12,106.12,106.11,106.12,2,106.115,0,2,30,0,0,1.00027336312049,NA,NA,NA,NA,NA,106.09125,106.134889069892,106.047610930108,106.113069534946,106.069430465054,106.1093,106.122767656729,106.095832343271,106.116033828365,106.102566171635,106.1126,106.126061054936,106.099138945064,106.119330527468,106.105869472532,0.0218195349460786,0.00673382836464141,0.006730527468186
106.12,106.12,106.11,106.12,9,106.119,0,7,31,0,0,1.00031106837849,NA,NA,NA,NA,NA,106.0942,106.136911270545,106.051488729455,106.115555635273,106.072844364727,106.1115,106.123095018087,106.099904981913,106.117297509044,106.105702490956,106.1156,106.125758740079,106.105441259921,106.12067937004,106.11052062996,0.0213556352725629,0.00579750904364125,0.00507937003968199
