"WM.Open","WM.High","WM.Low","WM.Close","WM.Volume","WM.WAP","WM.hasGaps","WM.Count","index","Orders","Position","holdingGrossReturn","X50PeriodSMA","upperBband2SD50PeriodsSMA","lowerBband2SD50PeriodsSMA","upperBband1SD50PeriodsSMA","lowerBband1SD50PeriodsSMA","X20PeriodSMA","upperBband2SD20PeriodsSMA","lowerBband2SD20PeriodsSMA","upperBband1SD20PeriodsSMA","lowerBband1SD20PeriodsSMA","X10PeriodSMA","upperBband2SD10PeriodsSMA","lowerBband2SD10PeriodsSMA","upperBband1SD10PeriodsSMA","lowerBband1SD10PeriodsSMA","X5PeriodSMA","upperBband2SD5PeriodsSMA","lowerBband2SD5PeriodsSMA","upperBband1SD5PeriodsSMA","lowerBband1SD5PeriodsSMA","SD20Days","SD10Days","SD5Days"
152.15,152.42,152.15,152.4,42,152.328,0,35,18,0,0,1.00769357986306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.2966,152.759392682166,151.833807317834,152.527996341083,152.065203658917,152.259,152.621427923869,151.896572076131,152.440213961934,152.077786038065,NA,0.231396341083142,0.181213961934499
152.45,152.54,152.36,152.5,38,152.451,0,33,19,0,0,1.0085072602785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.3188,152.788428505665,151.849171494335,152.553614252833,152.083985747167,152.2414,152.538501329516,151.944298670484,152.389950664758,152.092849335242,NA,0.234814252832601,0.14855066475785
152.48,152.52,152.27,152.28,83,152.397,0,66,20,0,0,1.00815003473026,NA,NA,NA,NA,NA,152.13555,152.823855157233,151.447244842767,152.479702578617,151.791397421383,152.3581,152.77326310048,151.94293689952,152.56568155024,152.15051844976,152.2804,152.601839263314,151.958960736686,152.441119631657,152.119680368343,0.34415257861655,0.207581550239897,0.160719631657115
152.25,152.33,152.18,152.29,21,152.257,0,15,21,0,0,1.00722389442,NA,NA,NA,NA,NA,152.19015,152.70590974619,151.674390253811,152.448029873095,151.932270126905,152.3667,152.767968045631,151.965431954369,152.567334022815,152.166065977185,152.3024,152.59163208674,152.01316791326,152.44701604337,152.15778395663,0.257879873094756,0.200634022815448,0.144616043370015
152.3,152.47,152.3,152.43,49,152.402,0,39,22,0,0,1.00818311116991,NA,NA,NA,NA,NA,152.21085,152.725679465889,151.696020534111,152.468264732944,151.953435267056,152.3508,152.729834797582,151.971765202418,152.540317398791,152.161282601209,152.367,152.518003311222,152.215996688778,152.442501655611,152.291498344389,0.257414732944408,0.18951739879083,0.07550165561098
152.56,152.7,152.52,152.59,111,152.552,0,54,23,0,0,1.00917540435947,NA,NA,NA,NA,NA,152.2406,152.762383742257,151.718816257743,152.501491871129,151.979708128871,152.3354,152.658712301721,152.012087698278,152.497056150861,152.173743849139,152.4118,152.625038833236,152.198561166764,152.518419416618,152.305180583382,0.260891871128733,0.161656150860738,0.106619416618171
152.65,152.81,152.62,152.78,51,152.75,0,46,24,0,0,1.0104852313697,NA,NA,NA,NA,NA,152.2882,152.813658236109,151.762741763891,152.550929118055,152.025470881946,152.3565,152.757156405859,151.955843594141,152.556828202929,152.156171797071,152.4716,152.846344179408,152.096855820592,152.658972089704,152.284227910296,0.262729118054477,0.200328202929313,0.187372089703883
152.89,152.89,152.7,152.78,61,152.78,0,44,25,0,0,1.01068369000761,NA,NA,NA,NA,NA,152.3322,152.868061961801,151.796338038199,152.600130980901,152.0642690191,152.4143,152.877744159407,151.950855840593,152.646022079704,152.182577920296,152.5482,152.996129458732,152.100270541268,152.772164729366,152.324235270634,0.267930980900521,0.23172207970373,0.223964729366033
152.74,152.77,152.63,152.71,57,152.704,0,50,26,0,0,1.0101809281249,NA,NA,NA,NA,NA,152.3805,152.862263645916,151.898736354084,152.621381822958,152.139618177042,152.47,152.924463297626,152.015536702374,152.697231648813,152.242768351187,152.6376,152.954073063625,152.321126936375,152.795836531812,152.479363468188,0.24088182295802,0.227231648812884,0.158236531812354
152.76,152.98,152.74,152.98,39,152.857,0,33,27,0,0,1.01119306717825,NA,NA,NA,NA,NA,152.4189,152.924665870527,151.913134129474,152.671782935263,152.166017064737,152.5478,152.969999321016,152.125600678984,152.758899660508,152.336700339492,152.7286,152.9552698039,152.5019301961,152.84193490195,152.61526509805,0.252882935263272,0.211099660508176,0.113334901949931
